iter	Passed	Remaining
0	79	79085
1	79	39782
2	80	26659
3	80	20090
4	81	16152
5	81	13525
6	82	11646
7	82	10245
8	83	9161
9	83	8294
10	84	7584
11	84	6988
12	85	6489
13	86	6057
14	86	5680
15	86	5347
16	87	5056
17	87	4797
18	88	4565
19	88	4357
20	89	4168
21	89	3999
22	90	3847
23	91	3709
24	91	3578
25	92	3459
26	93	3351
27	93	3251
28	94	3158
29	94	3069
30	95	2982
31	95	2901
32	96	2824
33	97	2756
34	97	2689
35	98	2630
36	98	2570
37	99	2514
38	99	2460
39	100	2408
40	100	2359
41	101	2313
42	101	2268
43	102	2226
44	103	2185
45	103	2149
46	104	2112
47	105	2082
48	105	2047
49	105	2012
50	106	1981
51	106	1950
52	107	1921
53	108	1892
54	108	1865
55	109	1840
56	109	1813
57	110	1790
58	110	1767
59	111	1747
60	112	1725
61	112	1703
62	113	1681
63	113	1659
64	113	1638
65	114	1618
66	114	1597
67	115	1578
68	115	1559
69	116	1543
70	116	1526
71	117	1509
72	117	1493
73	118	1477
74	118	1461
75	118	1446
76	119	1431
77	119	1416
78	120	1403
79	121	1392
80	121	1381
81	122	1369
82	122	1354
83	123	1342
84	123	1331
85	124	1319
86	124	1307
87	125	1296
88	125	1285
89	126	1278
90	126	1267
91	127	1257
92	127	1247
93	128	1238
94	128	1228
95	129	1218
96	129	1209
97	130	1199
98	130	1191
99	131	1183
100	132	1175
101	132	1167
102	133	1159
103	133	1151
104	134	1143
105	134	1135
106	135	1128
107	135	1120
108	136	1116
109	137	1109
110	137	1102
111	138	1094
112	138	1086
113	138	1079
114	139	1072
115	139	1065
116	140	1057
117	140	1050
118	141	1044
119	141	1038
120	142	1032
121	142	1025
122	143	1019
123	143	1014
124	144	1008
125	144	1002
126	144	996
127	145	990
128	146	985
129	146	981
130	147	977
131	147	973
132	148	968
133	149	963
134	149	958
135	150	956
136	151	952
137	151	948
138	152	943
139	152	939
140	153	934
141	153	929
142	154	926
143	155	921
144	155	917
145	156	912
146	156	908
147	157	904
148	157	900
149	158	896
150	158	892
151	159	888
152	159	883
153	160	879
154	160	875
155	161	871
156	161	868
157	162	864
158	162	860
159	163	856
160	163	852
161	164	848
162	164	845
163	165	841
164	165	838
165	166	834
166	166	831
167	167	827
168	167	824
169	168	820
170	168	817
171	169	814
172	169	811
173	170	808
174	170	805
175	171	801
176	171	798
177	172	796
178	172	793
179	173	790
180	174	787
181	174	784
182	174	781
183	175	778
184	175	775
185	176	772
186	176	769
187	177	766
188	177	763
189	178	760
190	178	757
191	179	754
192	179	752
193	180	749
194	180	746
195	181	744
196	182	742
197	182	739
198	183	736
199	183	734
200	184	731
201	184	729
202	185	726
203	185	723
